Variable,Min,Max,Mean,Shape,Graphs
variable_0,-20.0,20.0,0.0,"(21, 3)",graph
variable_1,-20.0,20.0,0.0,"(21, 3)",graph
variable_2,0.0,20000.0,3333.3333333333335,"(21, 6)",graph
variable_3,0.0,20000.0,3333.3333333333335,"(21, 6)",graph
variable_4,0.5,0.5,0.5,"(21,)","graph,sub,sub,sub,sub"
variable_5,0.001,0.001,0.0010000000000000002,"(21,)","graph,sub,sub,sub,sub"
variable_6,0.5,0.5,0.5,"(21,)","graph,sub,sub,sub,sub"
variable_7,0.001,0.001,0.0010000000000000002,"(21,)","graph,sub,sub,sub,sub"
variable_8,0.0,0.0,0.0,"(21, 6)",graph
variable_9,0.0,20000.0,3333.3333333333335,"(21, 6)",graph
variable_10,0.0,0.0,0.0,"(21, 6)",graph
variable_11,0.0,20000.0,3333.3333333333335,"(21, 6)",graph
variable_12,0.0,0.0,0.0,"(20, 12, 12)",graph
variable_13,0.0,0.0,0.0,"(20, 12, 12)",graph
variable_14,0.0,0.0,0.0,"(20, 12, 12)",graph
variable_15,0.499,0.499,0.4990000000000001,"(21,)","graph,sub"
variable_16,2.0,2.0,2.0,"(1,)",graph
variable_17,0.25,0.25,0.25,"(21,)","graph,sub"
variable_18,2.0,2.0,2.0,"(1,)",graph
variable_19,0.249001,0.249001,0.24900099999999997,"(21,)","graph,sub"
variable_20,0.0009989999999999999,0.0009989999999999999,0.0009989999999999999,"(21,)","graph,sub"
variable_21,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_22,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_23,0.003138451060936203,0.003138451060936203,0.003138451060936203,"(21,)",graph
variable_24,0.499,0.499,0.4990000000000001,"(21,)","graph,sub"
variable_25,4.0,4.0,4.0,"(1,)",graph
variable_26,0.0625,0.0625,0.0625,"(21,)","graph,sub"
variable_27,4.0,4.0,4.0,"(1,)",graph
variable_28,0.062001498001,0.062001498001,0.062001498001,"(21,)","graph,sub"
variable_29,0.0004985019989999992,0.0004985019989999992,0.0004985019989999992,"(21,)","graph,sub"
variable_30,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_31,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_32,0.0015660902178582239,0.0015660902178582239,0.001566090217858224,"(21,)",graph
variable_33,4.0,4.0,4.0,"(1,)",graph
variable_34,4.0,4.0,4.0,"(1,)",graph
variable_35,0.00039152255446455597,0.00039152255446455597,0.000391522554464556,"(21,)",graph
variable_36,0.499,0.499,0.4990000000000001,"(21,)","graph,sub"
variable_37,4.0,4.0,4.0,"(1,)",graph
variable_38,0.0625,0.0625,0.0625,"(21,)","graph,sub"
variable_39,4.0,4.0,4.0,"(1,)",graph
variable_40,0.062001498001,0.062001498001,0.062001498001,"(21,)","graph,sub"
variable_41,0.0004985019989999992,0.0004985019989999992,0.0004985019989999992,"(21,)","graph,sub"
variable_42,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_43,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_44,0.0015660902178582239,0.0015660902178582239,0.001566090217858224,"(21,)",graph
variable_45,4.0,4.0,4.0,"(1,)",graph
variable_46,4.0,4.0,4.0,"(1,)",graph
variable_47,0.00039152255446455597,0.00039152255446455597,0.000391522554464556,"(21,)",graph
variable_48,0.499,0.499,0.4990000000000001,"(21,)","graph,sub"
variable_49,4.0,4.0,4.0,"(1,)",graph
variable_50,0.0625,0.0625,0.0625,"(21,)","graph,sub"
variable_51,4.0,4.0,4.0,"(1,)",graph
variable_52,0.062001498001,0.062001498001,0.062001498001,"(21,)","graph,sub"
variable_53,0.0004985019989999992,0.0004985019989999992,0.0004985019989999992,"(21,)","graph,sub"
variable_54,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_55,3.141592653589793,3.141592653589793,3.141592653589793,"(1,)",graph
variable_56,0.0015660902178582239,0.0015660902178582239,0.001566090217858224,"(21,)",graph
variable_57,2.0,2.0,2.0,"(1,)",graph
variable_58,2.0,2.0,2.0,"(1,)",graph
variable_59,0.0007830451089291119,0.0007830451089291119,0.000783045108929112,"(21,)",graph
variable_60,-18.0,0.0,-6.0,"(3,)","graph,sub"
variable_61,-20.0,0.0,-6.666666666666667,"(3,)","graph,sub"
variable_62,0.0,2.0,0.6666666666666666,"(3,)","graph,sub,norm"
variable_63,2.0,2.0,2.0,"(1,)","graph,norm"
variable_64,0.003138451060936203,0.003138451060936203,0.003138451060936203,"(1,)",graph
variable_65,0.00039152255446455597,0.00039152255446455597,0.00039152255446455597,"(1,)",graph
variable_66,0.00039152255446455597,0.00039152255446455597,0.00039152255446455597,"(1,)",graph
variable_67,0.0007830451089291119,0.0007830451089291119,0.0007830451089291119,"(1,)",graph
variable_68,0.0,0.0,0.0,"(12, 12)",graph
variable_69,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_70,216553123.204598,216553123.204598,216553123.204598,"(1,)",graph
variable_71,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_72,0.0,108276561.602299,751920.566682632,"(12, 12)",graph
variable_73,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_74,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_75,3.0,3.0,3.0,"(1,)",graph
variable_76,8.0,8.0,8.0,"(1,)",graph
variable_77,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_78,0.0,108276561.602299,1033327.4027040316,"(12, 12)",graph
variable_79,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_80,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_81,2.0,2.0,2.0,"(1,)",graph
variable_82,4.0,4.0,4.0,"(1,)",graph
variable_83,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_84,0.0,108276561.602299,1314734.238725431,"(12, 12)",graph
variable_85,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_86,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_87,2.0,2.0,2.0,"(1,)",graph
variable_88,4.0,4.0,4.0,"(1,)",graph
variable_89,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_90,0.0,108276561.602299,1596141.0747468306,"(12, 12)",graph
variable_91,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_92,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_93,3.0,3.0,3.0,"(1,)",graph
variable_94,8.0,8.0,8.0,"(1,)",graph
variable_95,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_96,0.0,108276561.602299,1877547.9107682304,"(12, 12)",graph
variable_97,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_98,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_99,2.0,2.0,2.0,"(1,)",graph
variable_100,4.0,4.0,4.0,"(1,)",graph
variable_101,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_102,-40522584.38708154,108276561.602299,1596141.0747468306,"(12, 12)",graph
variable_103,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_104,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_105,2.0,2.0,2.0,"(1,)",graph
variable_106,4.0,4.0,4.0,"(1,)",graph
variable_107,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_108,-40522584.38708154,108276561.602299,1314734.238725431,"(12, 12)",graph
variable_109,26000000000.0,26000000000.0,26000000000.0,"(1,)",graph
variable_110,20359172.83215691,20359172.83215691,20359172.83215691,"(1,)",graph
variable_111,10179586.416078456,10179586.416078456,10179586.416078456,"(1,)",graph
variable_112,-40522584.38708154,108276561.602299,1385425.8110593094,"(12, 12)",graph
variable_113,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
variable_114,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_115,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_116,-40522584.38708154,108276561.602299,1760634.9257545087,"(12, 12)",graph
variable_117,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
variable_118,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_119,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_120,-40522584.38708154,108276561.602299,2135844.040449708,"(12, 12)",graph
variable_121,-0.003138451060936203,-0.003138451060936203,-0.003138451060936203,"(1,)",graph
variable_122,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_123,-216553123.204598,-216553123.204598,-216553123.204598,"(1,)",graph
variable_124,-108276561.602299,-108276561.602299,-108276561.602299,"(1,)",graph
variable_125,-108276561.602299,108276561.602299,1383923.4737670762,"(12, 12)",graph
variable_126,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
variable_127,-324180675.0966523,-324180675.0966523,-324180675.0966523,"(1,)",graph
variable_128,3.0,3.0,3.0,"(1,)",graph
variable_129,8.0,8.0,8.0,"(1,)",graph
variable_130,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_131,-108276561.602299,108276561.602299,1102516.6377456766,"(12, 12)",graph
variable_132,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_133,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_134,2.0,2.0,2.0,"(1,)",graph
variable_135,4.0,4.0,4.0,"(1,)",graph
variable_136,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_137,-108276561.602299,108276561.602299,1383923.4737670762,"(12, 12)",graph
variable_138,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
